Cap Title                                                         First Seen (CT)
The Neighborhood Boston Scally Cap - Brighton Ale                 3/9/2026
The Neighborhood Boston Scally Cap - Cambridge Crimson            3/9/2026
The Neighborhood Boston Scally Cap - Charlestown Blue             3/9/2026
The Neighborhood Boston Scally Cap - Coolidge Black               3/9/2026
The Neighborhood Boston Scally Cap - Dorchester Green             3/9/2026
The Newsboy Boston Scally Cap - Blue                              3/9/2026
The Newsboy Boston Scally Cap - Green                             3/9/2026
The Newsboy Boston Scally Cap - Grey/Brown                        3/9/2026
The Night Before Boston Scally Cap - Spruce Green                 3/9/2026
The Nutcracker Boston Scally Cap - Holly & Pine Plaid             3/9/2026
The Original 5-Panel Boston Scally Cap - Brown Herringbone        3/9/2026
The Original 5-Panel Boston Scally Cap - Dark Olive Green Herringbone 3/9/2026
The Original 5-Panel Boston Scally Cap - Grey Herringbone         3/9/2026
The Original 5-Panel Boston Scally Cap - Patriot Blue Herringbone 3/9/2026
The Original Boston Scally Cap - Brown                            3/9/2026
The Original Boston Scally Cap - Dark Olive Green Herringbone     3/9/2026
The Original Boston Scally Cap - Grey Herringbone                 3/9/2026
The Original Peaky Boston Scally Cap - Grey Herringbone           3/9/2026
The Papi Boston Scally Cap - Navy Blue                            3/9/2026
The Patriot Collectors Edition Boston Scally Cap - 6 Rings        3/9/2026
The Patriot Collectors Edition Boston Scally Cap - No. 87         3/9/2026
The Peaky Boston Scally Cap - Allston Grey                        3/9/2026
The Peaky Boston Scally Cap - Brighton Ale                        3/9/2026
The Peaky Boston Scally Cap - Brown Herringbone                   3/9/2026
The Peaky Boston Scally Cap - Charcoal & Slate                    3/9/2026
The Peaky Boston Scally Cap - Charlestown Blue                    3/9/2026
The Peaky Boston Scally Cap - Coolidge Black                      3/9/2026
The Peaky Boston Scally Cap - Copper & Ash                        3/9/2026
The Peaky Boston Scally Cap - Dark Olive Green Herringbone        3/9/2026
The Peaky Boston Scally Cap - Iron & Gravel                       3/9/2026
The Peaky Boston Scally Cap - Patriot Blue Herringbone            3/9/2026
The Plaid Trainer Boston Scally Cap - Dark Grey & Black           3/9/2026
The Plaid Trainer Boston Scally Cap - Light Grey & Black          3/9/2026
The Popeye® Boston Scally Cap - Patchwork                         3/9/2026
The Pot O' Gold Boston Scally Cap - Fortune Patchwork             3/9/2026
The Pub Boston Scally Cap - Black                                 3/9/2026
The Pub Boston Scally Cap - Grey                                  3/9/2026
The Pub Boston Scally Cap - Heather Blue                          3/9/2026
The Pumpkinhead Collectors Edition Boston Scally Cap - Halloween Plaid 3/9/2026
The Punk Boston Scally Cap - Black                                3/9/2026
The Punk Boston Scally Cap - Irish Green                          3/9/2026
The Punk Boston Scally Cap - St. Patrick Blue                     3/9/2026
